"GEOID","GeoName","County","AH002_2018","AH003_2018","AH004_2018","AH005_2018","AH006_2018","AH007_2018","AH008_2018","AH009_2018","AH010_2018","BD009_2018","BD010_2018","BD011_2018","BD012_2018","BD013_2018","BD014_2018","BD016_2018","BD017_2018","BD018_2018","BD019_2018","BD020_2018","BD021_2018","FO001_2013","FO001_2014","FO001_2015","FO001_2016","FO001_2017","FO001_2018","HH002_2018","HH003_2018","HH004_2018","HH005_2018","HT003_2018","HT006_2018","HT004_2018","HT007_2018","HT005_2018","HT008_2018","HC001_2018","HC002_2018","HC003_2018","HC004_2018","HC005_2018","HC006_2018","HC007_2018","HC008_2018","HC009_2018","HC010_2018","HC011_2018","HC012_2018","HC013_2018","HC014_2018","HC015_2018","HC016_2018","HC017_2018","HC018_2018","HC019_2018","HC020_2018","HV018_2013","HV018_2018","HV019_2013","HV019_2018","HV020_2013","HV020_2018","HV018_2000","HV019_2000","HV020_2000","RE001_2018","RE002_2018","RE003_2018","RE004_2018","RE005_2018","RH001_2018","RH002_2018","RH003_2018","UN002_2018","UN003_2018","UN004_2018","UN005_2018","PH001_2018","PH001_change","PH002_2018","PH002_change","PH003_2018","PH003_change","PH004_2018","PH004_change","PH005_2018","PH005_change","PH006_2018","PH006_change","RH004_2018","RH005_2018","RH006_2018","RH007_2018","RH008_2013","RH008_2018","RH009_2013","RH009_2018","RH010_2013","RH010_2018","FS001_2019","FS002_2019","FS003_2019","FS004_2019","FS005_2019","FS006_2019","FS007_2019","SS001_2019","SS002_2019","SS003_2019","SS004_2019","SS005_2019","GS001_2018","GS002_2018","GS004_2018","GS005_2018","LABEL","HP002","HP003","HP004","HP005","GMAP"
"3640530","Lake Grove","Suffolk",52,563,375,254,804,1139,475,260,136,0,34,609,1068,1267,318,41,248,168,80,40,21,13375,16905,16633,16441,12711,9783,0.6,27.6,41.8,29.9,164,4,3296,81.2,598,14.7,0,151,65,53,0,150,47,9,141,0,19,412,231,73,106,118,306,202,1643,287,337900,328000,409200,399300,500600,489200,225300,275900,356100,81.3,1.3,6.8,8.1,0,61681,105709,1840,3538,513,87.2,12.6,11130,-46,3894,263,2.85,-0.22,76.4,-2.8,3.34,-0.15,21.7,4,NA,1795,1930,1915,1369,1522,1541,1734,2057,1945,0,12,0,0,0,1,13,0,0,0,0,0,84.6,15.4,68.1,61.4,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","17, 12, 10, 2, 3, 3, 4, 6, 5, 4, 11, 12, 9","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d24140.61724715034!2d-73.13577957582254!3d40.8592065841425!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e8385c7a848d87%3A0x539b0d2e206218d7!2sLake%20Grove%2C%20NY!5e0!3m2!1sen!2sus!4v1599083846113!5m2!1sen!2sus"
"3640838","Lake Ronkonkoma","Suffolk",74,386,599,467,1692,1370,1557,524,495,19,101,566,2019,2065,229,172,650,445,325,108,71,13375,16905,16633,16441,12711,9783,2,27,42.5,28.6,394,5.5,4999,69.8,1771,24.7,148,679,128,66,66,148,198,0,222,56,57,383,245,63,309,324,408,372,2428,419,314000,293900,379600,352000,451700,416800,436300,531100,635900,77,3.5,5.4,12.5,0.1,32688,93158,1472,5904,1235,82.5,17.3,20780,980,6770,47,3.02,0.15,71.5,-0.4,3.63,0.17,24.4,0.8,NA,973,1771,1688,1008,822,1359,1385,1707,1814,NA,NA,NA,NA,NA,NA,NA,59,0,336,0,395,73.8,26.2,58.6,59.6,NA,NA,NA,NA,NA,"1d48302.38508013052!2d-73.15020978225846!3d40.83018060030451!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e838189bdda0a1%3A0xdcf086a1c4073d4a!2sLake%20Ronkonkoma%2C%20NY!5e0!3m2!1sen!2sus!4v1599083855991!5m2!1sen!2sus"
"3640937","Lake Success","Nassau",32,52,35,32,9,129,280,176,99,0,0,29,235,306,177,0,0,0,11,8,0,7786,10899,11766,8916,3510,3579,0,17.6,55.2,27.2,78,9.2,747,88.5,19,2.3,0,0,0,0,0,0,0,0,13,4,0,43,9,6,18,58,0,23,431,149,982700,945300,1078800,1192800,1078800,1636300,774700,964300,1221800,44.3,7.7,41.5,4.2,0.5,-666666666,190500,3501,840,4,99.5,0.5,3102,136,766,-61,3.37,0.44,90.5,0.9,3.55,0.45,7.8,-2.2,NA,NA,NA,NA,NA,NA,NA,3501,NA,3501,0,14,0,0,0,0,14,34,0,0,0,34,97.5,2.5,75,23.5,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","7, 3, 7, 6, 10, 9, 3, 3, 4, 9, 7, 4, 2","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d48346.16934464875!2d-73.74411213261122!3d40.77003916081594!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c289c5e4f90f9b%3A0x5074739adcfe6831!2sLake%20Success%2C%20NY!5e0!3m2!1sen!2sus!4v1599083865071!5m2!1sen!2sus"
"3641432","Lattingtown","Nassau",6,18,18,57,75,86,223,38,216,0,4,24,176,185,157,0,3,22,25,28,8,7786,10899,11766,8916,3510,3579,0,14.4,43.7,41.9,105,14.2,546,74.1,86,11.7,0,0,7,4,16,14,0,4,14,7,0,27,42,13,15,55,7,25,295,80,869100,773900,1078800,1059200,1078800,2000001,663000,1055400,1458200,92.1,0,2.7,3.7,0,76500,145625,2188,724,13,98.2,1.7,1827,-23,632,19,2.88,-0.11,75.2,-9.6,3.28,-0.01,21.5,7,NA,NA,2750,697,1733,NA,2095,2068,2159,2688,0,0,0,0,0,0,0,0,0,0,0,0,86.4,13.6,77.4,42.3,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","1, 2, 1, 1, 0, 3, 3, 3, 1, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d48256.60529051117!2d-73.62988088188949!3d40.89298503706218!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c284cdf5b918ad%3A0xfb0afb7d9cf63797!2sLattingtown%2C%20NY%2011560!5e0!3m2!1sen!2sus!4v1599083875473!5m2!1sen!2sus"
"3641487","Laurel Hollow","Nassau",22,56,55,61,61,154,135,17,66,4,8,19,48,189,280,0,0,0,16,4,15,7786,10899,11766,8916,3510,3579,0,20.9,49.4,29.7,44,7,548,87.4,35,5.6,0,4,0,0,0,10,0,0,12,0,0,41,11,0,8,23,12,24,354,68,1078800,1048200,1078800,1448900,1078800,2000001,959300,1308300,1458200,88.1,3.1,3.6,4.2,0,-666666666,250001,2875,627,0,100,0,1993,262,583,53,3.26,0.11,83.2,-4.5,3.62,0.22,16.1,6.5,NA,NA,NA,NA,NA,2232,NA,2597,NA,2799,0,0,0,0,0,0,0,0,0,0,0,0,94,6,58.4,53.8,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","2, 2, 4, 7, 3, 2, 0, 5, 3, 2, 2, 5, 2","0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d48281.427294815854!2d-73.5098622320895!3d40.85894207134904!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c282979d720f3b%3A0x2db947aa2c996000!2sLaurel%20Hollow%2C%20NY!5e0!3m2!1sen!2sus!4v1599083885663!5m2!1sen!2sus"
"3641553","Lawrence","Nassau",149,111,30,125,232,475,367,265,638,0,116,235,256,468,791,0,73,50,49,0,124,7786,10899,11766,8916,3510,3579,0.9,23.5,35.4,40.2,230,9.6,1866,78,296,12.4,0,77,60,46,0,21,15,0,0,0,0,94,121,14,91,237,19,103,939,307,664100,613600,968600,916500,1078800,1508900,623700,846500,1085000,96.3,0.4,2.1,1.3,0,46522,142500,1692,1683,709,70.4,29.5,6535,31,2162,117,3.02,-0.16,70.4,-11.7,3.78,0.15,27.3,10.5,NA,1371,NA,NA,1504,1173,1845,1377,2123,1659,0,1,0,0,0,0,1,0,0,0,0,0,86.3,13.7,83.3,91.3,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","5, 7, 2, 4, 5, 1, 5, 1, 11, 5, 9, 5, 9","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 143, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d48465.16315917606!2d-73.7508233835696!3d40.606219675398115!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2658e51bf8889%3A0x405c2bc836270fe8!2sLawrence%2C%20NY%2011559!5e0!3m2!1sen!2sus!4v1599083899472!5m2!1sen!2sus"
"3642081","Levittown","Nassau",38,134,88,140,340,601,9159,5747,543,18,226,1259,6346,5929,1431,156,204,301,282,124,115,7786,10899,11766,8916,3510,3579,0.3,22.3,48.5,28.9,399,2.4,15209,90.6,1182,7,16,222,121,20,15,145,171,67,378,7,98,1285,1379,455,739,963,960,915,7714,1370,343500,326500,393500,384300,458800,455200,241300,276600,326300,73.5,1,6.5,16.8,0,78964,119426,2066,15715,1046,93.6,6.2,51539,-1714,16391,-394,3.14,-0.03,81.4,-2.2,3.47,-0.03,15.3,1.1,NA,1649,2210,2390,1310,1331,1796,1952,2159,2322,NA,NA,NA,NA,NA,NA,NA,0,0,6,0,6,92.8,7.2,65.7,47.7,NA,NA,NA,NA,NA,"1d48381.20005540372!2d-73.55010123289345!3d40.721868709247914!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c27e2b3ab6fc17%3A0x9bae3e61265d1a79!2sLevittown%2C%20NY!5e0!3m2!1sen!2sus!4v1599083912247!5m2!1sen!2sus"
"3642554","Lindenhurst","Suffolk",78,349,112,389,840,2115,3241,988,1432,45,197,1125,2719,2246,728,143,436,663,343,138,56,13375,16905,16633,16441,12711,9783,0.8,24.7,50.8,23.7,705,7.4,7060,74,1779,18.6,0,449,345,152,118,73,223,76,342,16,59,935,528,166,245,723,536,575,2859,657,329900,307400,380900,355100,432800,407700,208800,244200,283500,75.4,3.3,1.8,18.1,0.1,50694,92178,1570,7966,1578,83.5,16.5,27053,-225,8839,-144,3.06,0.03,75.2,-1.5,3.53,0.05,20.7,2.1,NA,1428,1712,1731,1067,1143,1324,1444,1775,1806,0,55,0,0,0,1,56,0,0,0,0,0,79.9,20.1,86.6,55.8,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","10, 5, 1, 1, 3, 2, 13, 9, 3, 3, 6, 13, 1","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","19, 0, 0, 0, 0, 20, 0, 0, 0, 16, 0, 0, 0","1d48406.92922565973!2d-73.40837343310069!3d40.68645874483034!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e9d4a115b3f791%3A0x5907b437c6c70a49!2sLindenhurst%2C%20NY%2011757!5e0!3m2!1sen!2sus!4v1599083923271!5m2!1sen!2sus"
"3643005","Lloyd Harbor","Suffolk",35,100,114,174,94,334,322,18,279,0,8,41,89,483,532,0,6,6,26,35,8,13375,16905,16633,16441,12711,9783,0,9.5,59.6,31,236,16.1,1153,78.4,81,5.5,0,0,14,0,6,0,20,0,14,0,0,58,18,6,25,74,0,97,639,226,1078800,997300,1078800,1498600,1078800,2000001,991700,1335400,1458200,91.4,0.3,3.8,3.5,0,-666666666,215962,1192,1470,0,100,0,3676,6,1234,149,2.95,-0.39,88.8,0.6,3.11,-0.51,11.2,0.4,NA,NA,NA,NA,NA,838,NA,877,NA,950,0,0,0,0,0,0,0,0,0,0,0,0,93.4,6.6,82.5,0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","4, 4, 3, 3, 2, 1, 2, 4, 5, 2, 3, 1, 1","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d48243.34658134488!2d-73.49810273178261!3d40.911159568751145!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e8277fec27db45%3A0xe1368599f3e4072e!2sLloyd%20Harbor%2C%20NY!5e0!3m2!1sen!2sus!4v1599083934623!5m2!1sen!2sus"
"3643874","Lynbrook","Nassau",39,199,273,124,309,1026,1426,746,3366,114,353,696,2640,1114,338,262,562,613,288,170,18,7786,10899,11766,8916,3510,3579,0.1,24.5,44.5,30.9,340,4.5,5255,70,1913,25.5,39,553,139,57,104,233,129,40,502,81,104,374,420,174,237,495,355,358,2439,511,353000,350000,444000,441300,521300,524700,277900,325300,380200,69.4,2.9,2.7,22.4,0,56182,97206,1758,4561,2947,60.7,39.2,19552,91,7168,47,2.72,-0.01,70.3,1.6,3.32,-0.1,26.6,-0.6,1635,1323,1960,1720,1189,1256,1589,1687,2030,2130,0,168,0,52,0,0,220,0,126,0,127,253,73.3,26.7,74.6,56.3,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","0, 0, 8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d24214.094270917136!2d-73.6907130761157!3d40.657181234327226!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2649434a75c9b%3A0x2a440e4b0a258756!2sLynbrook%2C%20NY%2011563!5e0!3m2!1sen!2sus!4v1599084037035!5m2!1sen!2sus"
"3644787","Malverne","Nassau",13,42,19,54,12,369,682,651,1333,7,35,279,1911,629,146,0,23,35,39,4,0,7786,10899,11766,8916,3510,3579,0,17.6,42.2,40.2,67,2.1,3007,94.7,101,3.2,0,11,39,22,0,12,0,0,23,0,23,289,156,95,234,208,147,160,1424,375,414700,370500,482000,444600,547400,522300,297500,352200,421300,76.4,7,3.9,7.4,0.1,72604,119500,1542,3011,155,94.8,4.9,8535,6,3108,75,2.74,-0.07,77.9,3.5,3.18,-0.1,18,-1.9,NA,NA,NA,NA,964,NA,1406,1520,2159,1860,0,0,0,1,0,0,1,0,0,0,0,0,96.8,3.2,74.3,66.1,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 6","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d24207.65878292632!2d-73.68960752608996!3d40.67490872554967!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2635e96dbe64b%3A0xf01dc2da94b794d2!2sMalverne%2C%20NY!5e0!3m2!1sen!2sus!4v1599084050304!5m2!1sen!2sus"
"3645106","Manorhaven","Nassau",112,106,361,283,332,819,579,30,176,0,97,170,441,85,81,28,154,604,744,53,0,7786,10899,11766,8916,3510,3579,4.4,31.5,42.9,21.2,341,12.2,874,31.2,1583,56.6,11,249,284,106,0,165,67,206,502,25,0,78,74,20,54,57,35,14,522,40,406800,377700,563000,582800,733400,821200,288100,385500,519000,51,0.7,20.5,24.8,0.9,78618,89492,2303,939,1859,33.6,66.6,6620,36,2457,80,2.69,-0.08,68.8,0.9,3.18,-0.19,22.9,-1.8,NA,1406,2422,2310,1680,1677,2021,2148,2159,2465,0,11,0,0,0,0,11,0,0,0,0,0,35.6,64.4,59.3,59.3,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","2, 12, 2, 3, 2, 12, 9, 14, 8, 24, 2, 0, 12","4, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d24147.839456255617!2d-73.73033952585136!3d40.839385643986695!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c28ece0ff471ef%3A0x6925ee3cdf328c89!2sManorhaven%2C%20NY%2011050!5e0!3m2!1sen!2sus!4v1599084059575!5m2!1sen!2sus"
"3645139","Manorville","Suffolk",42,1009,1913,898,758,144,185,69,157,14,142,884,1245,1406,292,133,456,289,65,0,0,13375,16905,16633,16441,12711,9783,0.8,22.9,48.1,28.2,249,4.8,3983,77,943,18.2,14,425,61,61,125,31,19,0,249,0,152,601,254,102,211,263,230,211,1644,461,332100,287800,452500,416000,538300,552400,209700,281400,367500,82.3,3.3,1.6,10.4,0,39034,96160,1722,4164,974,80.5,18.8,14405,309,4926,87,2.91,0.02,69.2,-6.8,3.6,0.18,26.3,5.6,1137,1648,2092,NA,1361,1280,1500,1573,1700,1897,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,80.9,19.1,80.7,55.9,NA,NA,NA,NA,NA,"1d96557.52254688277!2d-72.86989343404395!3d40.86259959592423!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e85d12ffb68a7f%3A0xb9b3a52f89553dc0!2sManorville%2C%20NY%2011949!5e0!3m2!1sen!2sus!4v1599084069736!5m2!1sen!2sus"
"3645986","Massapequa","Nassau",95,121,122,135,361,1274,3594,1122,787,0,54,475,3062,2374,844,8,27,168,89,81,9,7786,10899,11766,8916,3510,3579,0,20.2,47.1,32.7,420,5.5,6809,89.5,382,5,0,72,27,0,29,28,87,10,91,19,30,573,445,150,331,577,397,319,3303,852,431600,417800,536600,510200,721800,669900,308300,383100,516800,91.6,0.6,1.6,5.6,0.3,77910,123935,1824,7264,347,95.4,4.6,21861,-16,7191,-16,3.04,0.01,81.9,2.1,3.38,-0.07,14.4,-2.7,NA,1419,1226,2263,1258,1005,2159,1619,2159,2350,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,94.7,5.3,74.3,42.2,NA,NA,NA,NA,NA,"1d24209.620640733898!2d-73.48811162609779!3d40.66950517822544!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c27f646fd9016f%3A0xc9ac81f6a881370e!2sMassapequa%2C%20NY!5e0!3m2!1sen!2sus!4v1599084084320!5m2!1sen!2sus"
"3645997","Massapequa Park","Nassau",10,90,76,147,325,666,4060,408,200,16,26,323,2585,1898,673,0,0,30,50,61,7,7786,10899,11766,8916,3510,3579,0,20.9,46.8,32.3,313,5.2,5521,92.3,148,2.5,0,0,65,0,0,9,0,0,69,0,66,595,355,147,266,192,342,269,3025,406,416000,395800,482600,460800,549900,586600,295300,343700,410600,89.8,0.2,2,6.6,0,-666666666,125206,2288,5872,103,98.2,1.7,17120,55,5669,169,3.02,-0.08,84.6,2.5,3.32,-0.17,14,-1.3,NA,NA,NA,2054,1126,2055,1798,2231,2159,2407,0,1,0,1,0,0,2,0,0,0,0,0,97.4,2.6,63.4,43.9,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","4, 5, 6, 5, 2, 1, 2, 4, 1, 7, 5, 1, 3","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d24206.45546800247!2d-73.46784052608518!3d40.678222723908476!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c27f805de30a07%3A0x2d8d91e15e917759!2sMassapequa%20Park%2C%20NY%2011762!5e0!3m2!1sen!2sus!4v1599084094320!5m2!1sen!2sus"
"3646074","Mastic","Suffolk",40,369,532,599,1550,333,747,198,206,0,43,288,1861,874,158,58,52,179,344,158,64,13375,16905,16633,16441,12711,9783,1.9,31.9,45.8,20.3,495,10.8,3224,70.5,855,18.7,5,358,82,52,0,67,30,76,206,0,15,374,210,135,195,537,264,207,1265,151,215400,186800,282300,240200,353000,296600,273400,325300,443300,64.6,8.7,1,24,0.4,42135,79842,1985,4379,174,95.8,3.8,14678,-2197,4079,-1101,3.59,0.34,82.4,3.3,3.97,0.37,13.9,-1,NA,NA,1328,1973,877,1325,1453,1580,1790,1903,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,79,21,84.3,68.1,NA,NA,NA,NA,NA,"1d48320.66593203581!2d-72.87133328240576!3d40.80507917556621!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e85098dc8b07e7%3A0x40111ecc4e9d5884!2sMastic%2C%20NY!5e0!3m2!1sen!2sus!4v1599084104120!5m2!1sen!2sus"
"3646085","Mastic Beach","Suffolk",102,383,260,541,1050,759,918,440,462,25,49,625,1580,552,132,0,168,369,507,70,40,13375,16905,16633,16441,12711,9783,2.8,30.2,47.5,19.4,798,16.2,2963,60.3,1154,23.5,0,381,269,216,59,163,72,23,121,0,49,373,315,126,181,454,335,140,1097,32,177700,166900,227400,212200,294300,268000,123100,143000,176200,74.8,5.2,1.5,16.3,0.4,42177,66190,1791,4691,224,95.4,4.5,11953,-3594,4117,-710,2.9,-0.32,66.8,-15.1,3.53,0.05,19.7,6.1,NA,1648,1664,1965,1378,1158,1542,1555,1831,1795,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,72,28,70.7,75.3,"2013, 2014, 2015, 2016, 2017, 2018, 2019","2, 1, 1, 1, 1, 0, 0","0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0","1d48353.11591643405!2d-72.87459223266715!3d40.76049072041868!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e850f246126851%3A0x9ca67f1d297528d5!2sMastic%20Beach%2C%20NY!5e0!3m2!1sen!2sus!4v1599084113367!5m2!1sen!2sus"
"3646107","Matinecock","Nassau",15,20,10,8,12,55,63,24,106,0,5,3,38,36,142,3,12,0,22,5,7,7786,10899,11766,8916,3510,3579,0,13.2,60.4,26.4,40,12.8,224,71.6,49,15.7,0,8,0,0,0,7,5,0,19,0,0,13,5,3,0,7,0,16,133,48,1078800,1160700,1078800,2000001,1078800,2000001,1009800,1458200,1458200,92.6,0,2.1,4.2,0,89375,175662,1750,305,8,97.4,2.6,897,52,273,-14,3.29,0.35,89.4,10.3,3.44,0.05,8.8,-10,NA,NA,NA,2571,1032,1099,2159,NA,2159,2736,0,0,0,0,0,0,0,0,0,0,0,0,82.1,17.9,77.7,38.5,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d48279.311603327835!2d-73.61758193207248!3d40.8618446184263!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2848cc95313f3%3A0x6f47a12e04041c00!2sMatinecock%2C%20NY!5e0!3m2!1sen!2sus!4v1599084128959!5m2!1sen!2sus"
"3646404","Medford","Suffolk",219,726,737,966,3253,1543,413,211,260,42,296,815,3209,1899,593,11,347,340,267,112,25,13375,16905,16633,16441,12711,9783,0,25.2,48.3,26.5,372,4.5,6854,82.3,1102,13.2,55,272,143,39,0,101,108,35,292,0,55,1009,575,213,367,486,330,691,3117,278,267100,248300,328600,311200,409200,384500,181000,212300,248800,69,5.6,2.4,21.6,0,60444,94485,1965,7304,987,87.7,11.8,24247,-583,7956,13,3,-0.09,71.3,-4.4,3.6,0.04,24.9,5.8,NA,1692,2053,2182,961,1256,1494,1680,1917,1932,NA,NA,NA,NA,NA,NA,NA,112,0,0,0,112,86.1,13.9,75.6,54.8,NA,NA,NA,NA,NA,"1d48308.0513153948!2d-73.02264978230409!3d40.822401658134005!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e845e49264a617%3A0x910a184812905be!2sMedford%2C%20NY!5e0!3m2!1sen!2sus!4v1599084137728!5m2!1sen!2sus"
"3646514","Melville","Suffolk",313,2128,960,457,573,1382,1413,173,105,14,127,1261,1830,1639,915,42,348,246,237,22,0,13375,16905,16633,16441,12711,9783,0.6,16.2,42,41.2,823,11,5786,77.1,895,11.9,70,193,66,37,19,121,26,29,261,50,42,559,549,175,263,462,286,293,2831,587,469900,459200,694300,641700,976300,880100,365900,491100,689900,81.1,2.4,8.9,5.6,0,60223,124116,2276,5845,1659,77.8,22.2,17872,-1845,6681,-245,2.62,-0.15,74.1,-3.9,3.1,-0.07,21.3,1.3,NA,2438,2380,2153,1146,1327,1998,2095,2159,2826,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,86.6,13.4,72.4,53.4,NA,NA,NA,NA,NA,"1d96672.40499847582!2d-73.47847018593116!3d40.78373590895394!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e82962c59108ef%3A0x88ea719fc2564a4e!2sMelville%2C%20NY!5e0!3m2!1sen!2sus!4v1599084146655!5m2!1sen!2sus"
"3646668","Merrick","Nassau",184,178,118,153,346,1729,2157,716,1750,0,119,308,2523,2803,783,0,69,74,82,116,29,7786,10899,11766,8916,3510,3579,0,21.7,49.2,29.1,425,5.8,6536,89.2,370,5,0,33,6,0,21,14,52,43,96,19,17,601,276,77,115,294,290,211,3868,867,437700,447000,559900,562500,728200,699800,317500,419700,556400,87.6,2.5,2.9,5.9,0.2,98828,154770,2177,7099,232,96.8,3.2,19966,-1242,6906,-127,2.89,-0.12,83.5,-3.7,3.19,-0.06,13.5,2.4,NA,1368,NA,2471,1206,1557,1714,1810,2159,2639,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,94.6,5.4,65.3,40.5,NA,NA,NA,NA,NA,"1d96672.40499847582!2d-73.47847018593116!3d40.78373590895394!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c27954692cf46f%3A0x7f0535ddcb0b1e68!2sMerrick%2C%20NY!5e0!3m2!1sen!2sus!4v1599084156799!5m2!1sen!2sus"
