"GEOID","GeoName","County","AH002_2018","AH003_2018","AH004_2018","AH005_2018","AH006_2018","AH007_2018","AH008_2018","AH009_2018","AH010_2018","BD009_2018","BD010_2018","BD011_2018","BD012_2018","BD013_2018","BD014_2018","BD016_2018","BD017_2018","BD018_2018","BD019_2018","BD020_2018","BD021_2018","FO001_2013","FO001_2014","FO001_2015","FO001_2016","FO001_2017","FO001_2018","HH002_2018","HH003_2018","HH004_2018","HH005_2018","HT003_2018","HT006_2018","HT004_2018","HT007_2018","HT005_2018","HT008_2018","HC001_2018","HC002_2018","HC003_2018","HC004_2018","HC005_2018","HC006_2018","HC007_2018","HC008_2018","HC009_2018","HC010_2018","HC011_2018","HC012_2018","HC013_2018","HC014_2018","HC015_2018","HC016_2018","HC017_2018","HC018_2018","HC019_2018","HC020_2018","HV018_2013","HV018_2018","HV019_2013","HV019_2018","HV020_2013","HV020_2018","HV018_2000","HV019_2000","HV020_2000","RE001_2018","RE002_2018","RE003_2018","RE004_2018","RE005_2018","RH001_2018","RH002_2018","RH003_2018","UN002_2018","UN003_2018","UN004_2018","UN005_2018","PH001_2018","PH001_change","PH002_2018","PH002_change","PH003_2018","PH003_change","PH004_2018","PH004_change","PH005_2018","PH005_change","PH006_2018","PH006_change","RH004_2018","RH005_2018","RH006_2018","RH007_2018","RH008_2013","RH008_2018","RH009_2013","RH009_2018","RH010_2013","RH010_2018","FS001_2019","FS002_2019","FS003_2019","FS004_2019","FS005_2019","FS006_2019","FS007_2019","SS001_2019","SS002_2019","SS003_2019","SS004_2019","SS005_2019","GS001_2018","GS002_2018","GS004_2018","GS005_2018","LABEL","HP002","HP003","HP004","HP005","GMAP"
"3636233","Huntington (hamlet)","Suffolk",156,245,329,445,592,1097,2284,623,1926,0,245,767,2040,2134,704,42,236,352,400,98,35,13375,16905,16633,16441,12711,9783,0.3,21.4,49,29.3,644,8.4,5890,76.5,1163,15.1,8,212,181,50,71,64,69,55,345,22,48,575,457,80,256,430,204,325,3024,601,467400,459800,623200,598100,820000,735900,349200,455700,601400,88.9,1.2,3.2,5.9,0,67750,120475,1993,6400,1289,83.2,16.7,17341,-1239,7053,2,2.44,-0.17,62.7,-7.9,3.1,-0.04,31.3,7.5,NA,1497,2125,2599,1205,1272,1600,1816,2010,2439,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,83.5,16.5,72.3,48,NA,NA,NA,NA,NA,NA
"3637022","Huntington Bay","Suffolk",15,14,9,17,69,112,86,47,227,0,0,9,141,184,153,0,0,3,3,13,16,13375,16905,16633,16441,12711,9783,1.7,9.8,45.8,42.7,74,12.4,487,81.7,35,5.9,0,0,4,0,0,0,0,0,3,0,0,56,24,3,4,22,10,34,296,41,843700,832700,1078800,1137000,1078800,1643500,666400,893700,1151500,95.5,0.2,2.2,0.9,0.5,113750,185833,-666666666,578,18,97,3,1366,-87,522,-47,2.62,0.07,79.3,-2.1,2.95,0.1,15.3,-0.7,NA,NA,NA,NA,1282,NA,1888,NA,2159,NA,0,0,0,0,0,0,0,0,0,0,0,0,93.3,6.7,70.3,0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","3, 1, 1, 1, 1, 1, 0, 0, 0, 1, 4, 4, 1","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d48249.12720666754!2d-73.44632083182921!3d40.903236526734254!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e82652249f3385%3A0x5720407bec445371!2sHuntington%20Bay%2C%20NY%2011743!5e0!3m2!1sen!2sus!4v1599083594768!5m2!1sen!2sus"
"3637044","Huntington Station","Suffolk",195,406,291,397,1168,2589,3985,1133,1302,30,104,976,3297,2284,664,81,798,908,652,181,42,13375,16905,16633,16441,12711,9783,0.6,30.3,49.4,19.7,1449,12.6,7355,64.1,2662,23.2,23,794,458,132,261,312,346,55,372,0,36,705,773,291,284,697,476,460,3456,450,322000,302700,394800,367600,478300,450300,219200,267000,331000,47.2,8.2,3.1,39.1,0,51233,89472,1751,9266,2200,80.8,19.2,33259,35,10017,-373,3.3,0.12,74.6,0.7,3.72,0.13,20.2,-0.4,929,1365,1797,1995,1099,1122,1364,1582,1940,1960,NA,NA,NA,NA,NA,NA,NA,0,40,81,0,121,73.4,26.6,74.4,55.2,NA,NA,NA,NA,NA,"1d48289.78049789448!2d-73.43629793215689!3d40.84748053288918!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e828ecbc8949b3%3A0xcaed5279b08015d4!2sHuntington%20Station%2C%20NY!5e0!3m2!1sen!2sus!4v1599083606584!5m2!1sen!2sus"
"3637840","Islandia","Suffolk",0,78,116,119,224,425,33,12,62,0,77,85,348,235,126,0,21,7,35,21,5,13375,16905,16633,16441,12711,9783,0.5,32.4,44.3,22.8,109,10.2,871,81.5,89,8.3,0,4,18,0,0,0,7,12,26,0,11,113,60,23,17,83,53,112,409,7,275900,257300,341400,317400,417700,384600,203300,234500,265400,44.1,10.5,10,29.8,0,91750,95379,1947,930,119,87,11.2,3345,9,960,-45,3.4,0.14,73.4,-2,4.05,0.22,22,3.2,NA,1667,NA,NA,1676,1623,1925,1784,2159,1945,0,5,0,1,0,1,7,0,0,0,0,0,90.7,9.3,81.8,50.8,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","1, 5, 0, 0, 1, 0, 13, 1, 0, 1, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d48319.63861314553!2d-73.20896033239745!3d40.80649012414647!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e837305e0bb191%3A0xfea5ead64e9fea10!2sIslandia%2C%20NY!5e0!3m2!1sen!2sus!4v1599083632080!5m2!1sen!2sus"
"3637847","Island Park","Nassau",31,59,50,166,99,251,597,151,367,0,0,254,463,222,77,30,128,188,189,37,22,7786,10899,11766,8916,3510,3579,0.5,31.2,38.8,29.5,161,9.1,1016,57.4,594,33.5,72,142,10,0,69,42,75,43,119,0,13,108,89,71,39,101,66,84,441,75,334400,319400,407400,385000,558200,470300,220900,270400,334500,60.9,0.2,2.6,35.7,0.1,61667,88882,1695,1020,751,57.5,42.5,4807,146,1610,-81,2.87,0.21,65,-3.3,3.41,0.17,25.2,-3.3,NA,1493,1664,2050,1087,1025,1520,1375,1880,1764,0,72,0,39,0,0,111,0,0,40,0,40,63.1,36.9,73.8,40.4,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","5, 1, 1, 1, 0, 1, 16, 11, 12, 9, 10, 14, 9","0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 6, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0","1d12116.192133557157!2d-73.66393300916852!3d40.606763860094354!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2654812ae9287%3A0x8ec8aaad78fd6669!2sIsland%20Park%2C%20NY%2011558!5e0!3m2!1sen!2sus!4v1599083617723!5m2!1sen!2sus"
"3637869","Islip (hamlet)","Suffolk",41,222,457,471,939,1409,1332,300,1234,0,307,564,2335,1481,471,18,184,411,73,66,24,13375,16905,16633,16441,12711,9783,0.5,24.2,48.1,27.2,471,7.4,5158,80.5,776,12.1,0,223,106,88,93,60,64,17,129,14,10,539,295,155,319,293,361,327,2541,509,334000,306300,396500,369000,496300,454400,213600,251700,323400,76.8,4.5,1.8,15.7,0,49439,105142,1478,5104,1287,79.6,20.1,17921,-642,5934,-400,3.01,0.09,72.7,-1.9,3.54,0.08,22,0.9,NA,1267,1496,2071,1267,1187,1607,1388,1934,1757,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,86.9,13.1,71.1,59.4,NA,NA,NA,NA,NA,"1d48374.08650600207!2d-73.25640428283612!3d40.7316542994117!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e8338c078e3efb%3A0xc616688e9560cfd0!2sIslip%2C%20NY!5e0!3m2!1sen!2sus!4v1599083696863!5m2!1sen!2sus"
"3638539","Jericho","Nassau",37,202,262,724,302,1256,1975,85,47,0,48,68,1693,1762,357,0,378,204,102,47,23,7786,10899,11766,8916,3510,3579,0.5,26.4,50,23.1,208,4.3,3928,80.3,754,15.4,0,162,36,0,25,41,80,64,233,22,0,218,151,46,59,144,68,156,2261,872,598600,601900,727900,772900,899700,930900,437900,563300,692900,60,1.5,32.8,2.8,0,81471,161771,2044,4226,642,86.4,13.1,13827,441,4682,116,2.92,0.01,83,2,3.26,-0.01,15.1,0,NA,1894,2317,1982,1425,1644,1767,1928,2159,2358,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,83.9,16.1,69.9,49,NA,NA,NA,NA,NA,"1d48333.58149543414!2d-73.57703103250981!3d40.78733714341648!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c28138cd13ee99%3A0x4b8717fd1d98abbd!2sJericho%2C%20NY!5e0!3m2!1sen!2sus!4v1599083795073!5m2!1sen!2sus"
"3639309","Kensington","Nassau",6,18,11,14,55,77,32,22,234,3,19,60,40,111,158,0,3,13,2,6,6,7786,10899,11766,8916,3510,3579,0,14,36.6,49.4,48,10.2,391,83.4,30,6.4,0,9,3,0,0,0,0,0,15,0,7,27,31,13,9,26,16,12,183,74,978600,804400,1078800,1360600,1078800,1872800,801100,1020200,1302300,82.7,0.3,14.4,2.4,0,-666666666,171250,2583,339,130,72.3,27.8,1184,59,421,24,2.81,-0.02,76.5,-1.6,3.33,-0.01,23.5,2.3,NA,NA,NA,NA,NA,1653,NA,2583,NA,3501,0,0,0,0,0,0,0,0,0,0,0,0,92.9,7.1,90.9,44.4,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","0, 0, 3, 1, 0, 3, 1, 0, 2, 2, 4, 2, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d24164.744318708043!2d-73.73879612591884!3d40.792960167031495!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c289a24d4b2ebd%3A0xacd2e0f5a1e0c51a!2sKensington%2C%20NY!5e0!3m2!1sen!2sus!4v1599083813912!5m2!1sen!2sus"
"3639672","Kings Park","Suffolk",5,358,503,778,1096,2011,1143,377,337,24,156,230,2335,1708,424,30,370,374,249,114,57,13375,16905,16633,16441,12711,9783,0.5,22.9,44.7,32,537,8.1,4877,73.8,1194,18.1,0,342,163,43,54,119,80,9,243,5,29,518,385,267,180,287,364,224,2650,252,371800,360200,454100,437200,522000,498400,265500,323100,395800,86.5,1.4,4.6,6.2,0,44598,103666,1504,5547,1036,83.9,15.6,16707,-950,6071,-57,2.69,-0.13,70.7,-4.5,3.29,-0.03,26.1,4.4,NA,1302,1710,2071,854,1160,1249,1405,1511,1850,NA,NA,NA,NA,NA,NA,NA,0,0,114,0,114,80.3,19.7,61.1,62.9,NA,NA,NA,NA,NA,"1d48260.08831080212!2d-73.27917638191755!3d40.88820954187284!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e83b1ff2265715%3A0xb707def14ac1d773!2sKings%20Park%2C%20NY%2011754!5e0!3m2!1sen!2sus!4v1599083823911!5m2!1sen!2sus"
"3639694","Kings Point","Nassau",18,107,112,90,144,244,376,60,348,0,0,0,195,544,525,0,0,0,14,16,12,7786,10899,11766,8916,3510,3579,1,16.2,43.5,39.4,193,12.9,1264,84.3,42,2.8,0,0,0,0,0,0,0,0,12,0,0,30,25,18,0,236,21,173,462,317,1078800,1610500,1078800,2000001,1078800,2000001,1283200,1458200,1458200,93.3,1,1.3,1.8,0,-666666666,123750,-666666666,1499,0,100,0,5187,171,1306,-41,3.52,0.31,89.8,-1.4,3.79,0.41,8.7,1.4,NA,NA,NA,NA,515,NA,689,NA,955,NA,0,0,0,0,0,0,0,0,0,0,0,0,96.8,3.2,121.9,0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","12, 18, 19, 7, 4, 13, 14, 14, 12, 16, 14, 6, 9","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1d48310.08134883965!2d-73.77433103232046!3d40.81961441093918!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c28960e26366db%3A0x42897599cc1c3d0a!2sKings%20Point%2C%20NY%2011024!5e0!3m2!1sen!2sus!4v1599083835479!5m2!1sen!2sus"
