"GEOID","GeoName","PH001_2018","PH002_2018","PH003_2018","PH004_2018","PH005_2018","PH006_2018","PH007_2018","PH008_2000","PH009_2018","PH010_2000","RE001_2018","RE002_2018","RE003_2018","RE004_2018","RE005_2018","UN001_2018","UN002_2018","UN003_2018"
3602044,"Amityville",9452,3421,2.62,68.3,3.17,25.6,26.1,1047,33.1,911,73.6,11,1.2,13.1,0.1,3603,2633,970
3602737,"Asharoken",443,173,2.56,74.6,3.02,23.7,28.9,60,46.8,76,94.8,0,1.8,2,0.7,304,304,0
3602968,"Atlantic Beach",1398,601,2.33,72.2,2.78,24.6,19,224,43.1,258,90.7,1.5,1.5,4,1.1,910,851,59
3610304000,"Babylon",211562,65698,3.19,73.2,3.74,22,34.8,28049,32,18832,56.2,16.2,3.4,21.7,0.1,70802,56089,14322
